App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
WhatsApp Messenger,COMM,4.4,69119316,Varies with device,"1,000,000,000+",0,0,Everyone,COMM,03-Aug-18,Varies with device,Varies with device
Messenger – Text and Video Chat for Free,COMM,4,56646578,Varies with device,"1,000,000,000+",0,0,Everyone,COMM,01-Aug-18,Varies with device,Varies with device
imo free video calls and chat,COMM,4.3,4785988,11M,"500,000,000+",0,0,Everyone,COMM,08-Jun-18,9.8.000000010501,4.0 and up
Hangouts Dialer - Call Phones,COMM,4,122498,79k,"10,000,000+",0,0,Everyone,COMM,02-Sep-15,0.1.100944346,4.0.3 and up
Viber Messenger,COMM,4.3,11334973,Varies with device,"500,000,000+",0,0,Everyone,COMM,18-Jul-18,Varies with device,Varies with device
Hangouts,COMM,4,3419433,Varies with device,"1,000,000,000+",0,0,Everyone,COMM,21-Jul-18,Varies with device,Varies with device
"Talkatone: Free Texts, Calls & Phone Number",COMM,4.1,132014,25M,"10,000,000+",0,0,Everyone,COMM,18-Jul-18,6.1,4.2 and up
Calls & Text by Mo+,COMM,4.2,83239,14M,"5,000,000+",0,0,Everyone,COMM,19-Apr-18,3.0.4,4.0 and up
free video calls and chat,COMM,4.2,594728,Varies with device,"50,000,000+",0,0,Everyone,COMM,19-Jul-18,7.3(800241),4.4 and up
WeChat,COMM,4.2,5387446,Varies with device,"100,000,000+",0,0,Everyone,COMM,31-Jul-18,Varies with device,Varies with device
Skype - free IM & video calls,COMM,4.1,10484169,Varies with device,"1,000,000,000+",0,0,Everyone,COMM,03-Aug-18,Varies with device,Varies with device
Telegram,COMM,4.4,3128509,Varies with device,"100,000,000+",0,0,Mature 17+,COMM,27-Jul-18,Varies with device,Varies with device
Who,COMM,4.3,2451093,Varies with device,"100,000,000+",0,0,Teen,COMM,03-Aug-18,Varies with device,Varies with device
Google Voice,COMM,4.2,171031,Varies with device,"10,000,000+",0,0,Everyone,COMM,03-Aug-18,Varies with device,Varies with device
"GO SMS Pro - Messenger, Free Themes, Emoji",COMM,4.4,2876500,24M,"100,000,000+",0,0,Everyone,COMM,01-Aug-18,7.73,4.0 and up
Android Messages,COMM,4.2,781810,Varies with device,"100,000,000+",0,0,Everyone,COMM,01-Aug-18,Varies with device,Varies with device
"Messaging+ SMS, MMS Free",COMM,4.1,28238,17M,"1,000,000+",0,0,Everyone,COMM,02-Aug-18,4.98,2.3 and up
chomp SMS,COMM,4.3,335646,8.3M,"10,000,000+",0,0,Everyone,COMM,26-Jul-18,7.21,2.3 and up
Glide - Video Chat Messenger,COMM,4.3,350154,Varies with device,"10,000,000+",0,0,Everyone,COMM,29-Jul-18,Varies with device,Varies with device
Text SMS,COMM,4.5,349384,8.2M,"10,000,000+",0,0,Everyone,COMM,24-Jul-18,3.47,4.0.3 and up
Google Allo,COMM,4.3,346982,Varies with device,"10,000,000+",0,0,Everyone,COMM,23-Jan-18,Varies with device,4.1 and up
Talkray - Free Calls & Texts,COMM,4.2,244863,Varies with device,"10,000,000+",0,0,Everyone,COMM,29-May-18,Varies with device,Varies with device
LINE: Free Calls & Messages,COMM,4.2,10790289,Varies with device,"500,000,000+",0,0,Everyone,COMM,26-Jul-18,Varies with device,Varies with device
GroupMe,COMM,4.5,330761,Varies with device,"10,000,000+",0,0,Everyone,COMM,03-Jul-18,Varies with device,Varies with device
mysms SMS Text Messaging Sync,COMM,4.3,37320,8.4M,"1,000,000+",0,0,Everyone,COMM,30-Jul-18,6.5.1,4.0.3 and up
BBM - Free Calls & Messages,COMM,4.3,12842860,Varies with device,"100,000,000+",0,0,Everyone,COMM,02-Aug-18,Varies with device,4.0.3 and up
KakaoTalk: Free Calls & Text,COMM,4.3,2546527,Varies with device,"100,000,000+",0,0,Everyone,COMM,03-Aug-18,Varies with device,Varies with device
Firefox Focus: The privacy browser,COMM,4.4,36893,4.0M,"1,000,000+",0,0,Everyone,COMM,06-Jul-18,5.2,5.0 and up
2ndLine - Second Phone Number,COMM,4.2,15880,32M,"1,000,000+",0,0,Everyone,COMM,03-Aug-18,5.65.0,4.0 and up
Google Allo,COMM,4.3,346980,Varies with device,"10,000,000+",0,0,Everyone,COMM,23-Jan-18,Varies with device,4.1 and up
Google Chrome: Fast & Secure,COMM,4.3,9643041,Varies with device,"1,000,000,000+",0,0,Everyone,COMM,01-Aug-18,Varies with device,Varies with device
Firefox Browser fast & private,COMM,4.4,3075118,Varies with device,"100,000,000+",0,0,Everyone,COMM,10-Jul-18,Varies with device,Varies with device
"CM Browser - Ad Blocker , Fast Download , Privacy",COMM,4.6,2264916,6.1M,"50,000,000+",0,0,Everyone,COMM,31-Jul-18,5.22.18.0006,4.0 and up
Puffin Web Browser,COMM,4.3,541389,Varies with device,"10,000,000+",0,0,Everyone,COMM,09-Jul-18,7.5.3.20547,4.1 and up
Opera Browser: Fast and Secure,COMM,4.4,2473693,Varies with device,"100,000,000+",0,0,Everyone,COMM,31-Jul-18,47.1.2249.129326,Varies with device
Ninesky Browser,COMM,4.2,42925,2.8M,"1,000,000+",0,0,Everyone,COMM,27-Aug-17,6.1,2.3 and up
Opera Mini - fast web browser,COMM,4.5,5150471,Varies with device,"100,000,000+",0,0,Everyone,COMM,19-Jul-18,Varies with device,Varies with device
"Dolphin Browser - Fast, Private & Adblock🐬",COMM,4.5,2511130,Varies with device,"50,000,000+",0,0,Everyone,COMM,02-Jul-18,Varies with device,Varies with device
UC Browser Mini -Tiny Fast Private & Secure,COMM,4.4,3648480,3.3M,"100,000,000+",0,0,Teen,COMM,18-Jul-18,11.4.0,4.0 and up
UC Browser - Fast Download Private & Secure,COMM,4.5,17714850,40M,"500,000,000+",0,0,Teen,COMM,02-Aug-18,12.8.5.1121,4.0 and up
Ghostery Privacy Browser,COMM,4.1,13100,2.2M,"1,000,000+",0,0,Everyone,COMM,20-Mar-18,1.4.1.0,4.0.3 and up
InBrowser - Incognito Browsing,COMM,4.2,27156,Varies with device,"1,000,000+",0,0,Everyone,COMM,31-May-18,Varies with device,Varies with device
Web Browser for Android,COMM,4.1,55098,4.3M,"1,000,000+",0,0,Everyone,COMM,20-Jun-18,2.2,4.0 and up
DU Browser—Browse fast & fun,COMM,4.3,1133501,4.7M,"10,000,000+",0,0,Everyone,COMM,01-Apr-16,6.4.0.4,4.0 and up
Lightning Web Browser,COMM,4.1,12578,2.3M,"500,000+",0,0,Everyone,COMM,10-Jul-17,4.5.1,4.0 and up
Web Browser,COMM,4.2,10965,2.3M,"500,000+",0,0,Everyone,COMM,02-Feb-15,2,3.0 and up
Puffin Browser Pro,COMM,4,18247,Varies with device,"100,000+",1,$3.99 ,Everyone,COMM,05-Jul-18,7.5.3.20547,4.1 and up
Contacts+,COMM,4.2,190613,11M,"10,000,000+",0,0,Everyone,COMM,31-Jul-18,5.85.1,4.0.3 and up
ExDialer - Dialer & Contacts,COMM,4.2,125232,2.7M,"10,000,000+",0,0,Everyone,COMM,05-Mar-17,196,2.1 and up
Calls & Text by Mo+,COMM,4.2,83239,14M,"5,000,000+",0,0,Everyone,COMM,19-Apr-18,3.0.4,4.0 and up
Viber Messenger,COMM,4.3,11334973,Varies with device,"500,000,000+",0,0,Everyone,COMM,18-Jul-18,Varies with device,Varies with device
PHONE for Google Voice & GTalk,COMM,4.3,72065,13M,"1,000,000+",0,0,Everyone,COMM,18-Apr-18,3.0.7,4.0 and up
Safest Call Blocker,COMM,4.4,27540,3.7M,"1,000,000+",0,0,Everyone,COMM,05-Jan-18,1.26.001,4.0 and up
Full Screen Caller ID,COMM,4.2,104990,10M,"5,000,000+",0,0,Everyone,COMM,15-May-18,3.5.0,4.0.3 and up
Hiya - Caller ID & Block,COMM,4.4,177703,13M,"10,000,000+",0,0,Mature 17+,COMM,25-Jul-18,8.1.2-6310,5.0 and up
Call Blocker,COMM,4.1,17529,10M,"1,000,000+",0,0,Everyone,COMM,26-Jul-18,5.86,4.0.3 and up
Mr. Number-Block calls & spam,COMM,4.2,177263,13M,"10,000,000+",0,0,Mature 17+,COMM,13-Jul-18,5.1.2-6310,5.0 and up
Should I Answer?,COMM,4.8,237468,8.8M,"1,000,000+",0,0,Everyone,COMM,26-Jul-18,2018.1.715,4.0 and up
RocketDial Dialer & Contacts,COMM,4.4,32254,5.5M,"1,000,000+",0,0,Everyone,COMM,04-Dec-17,3.9.7,2.1 and up
"CallApp: Caller ID, Blocker & Phone Call Recorder",COMM,4.4,483565,20M,"10,000,000+",0,0,Everyone,COMM,29-Jul-18,1.286,4.1 and up
Whoscall - Caller ID & Block,COMM,4.4,552441,29M,"10,000,000+",0,0,Everyone,COMM,01-Aug-18,6.19.1,4.1 and up
CIA - Caller ID & Call Blocker,COMM,4,60308,Varies with device,"5,000,000+",0,0,Everyone,COMM,22-Jun-18,Varies with device,Varies with device
Calls Blacklist - Call Blocker,COMM,4.5,457283,Varies with device,"10,000,000+",0,0,Everyone,COMM,24-May-18,Varies with device,Varies with device
Call Control - Call Blocker,COMM,4.4,93825,11M,"5,000,000+",0,0,Everyone,COMM,05-Jul-18,2.17.3,4.1 and up
True Contact - Real Caller ID,COMM,4.1,32283,Varies with device,"1,000,000+",0,0,Everyone,COMM,26-Jul-18,Varies with device,Varies with device
Video Caller Id,COMM,4.2,15287,17M,"1,000,000+",0,0,Everyone,COMM,24-Jan-18,2.2.245,4.0.3 and up
Sync.ME – Caller ID & Block,COMM,4.5,205739,17M,"5,000,000+",0,0,Everyone,COMM,26-Jul-18,4.5.4,4.1 and up
Burner - Free Phone Number,COMM,4.3,14873,Varies with device,"1,000,000+",0,0,Everyone,COMM,12-Jul-18,Varies with device,Varies with device
"Truecaller: Caller ID, SMS spam blocking & Dialer",COMM,4.5,7820209,Varies with device,"100,000,000+",0,0,Everyone,COMM,01-Aug-18,Varies with device,Varies with device
Caller ID +,COMM,4,9498,118k,"1,000,000+",0,0,Everyone,COMM,07-Jun-16,5.28.0,2.3 and up
Gmail,COMM,4.3,4604483,Varies with device,"1,000,000,000+",0,0,Everyone,COMM,02-Aug-18,Varies with device,Varies with device
Yahoo Mail – Stay Organized,COMM,4.3,4188142,16M,"100,000,000+",0,0,Everyone,COMM,18-Jul-18,5.29.3,4.4 and up
K-9 Mail,COMM,4.2,88427,5.1M,"5,000,000+",0,0,Everyone,COMM,06-Jan-18,5.403,4.0.3 and up
"myMail – Email for Hotmail, Gmail and Outlook Mail",COMM,4.5,305218,Varies with device,"10,000,000+",0,0,Everyone,COMM,03-Aug-18,Varies with device,Varies with device
Email TypeApp - Mail App,COMM,4.6,183374,44M,"1,000,000+",0,0,Everyone,COMM,01-Aug-18,1.9.4.74,4.1 and up
All Email Providers,COMM,4.1,20901,7.3M,"1,000,000+",0,0,Everyone,COMM,03-Apr-18,5.0.9,4.1 and up
"Newton Mail - Email App for Gmail, Outlook, IMAP",COMM,4,122595,30M,"1,000,000+",0,0,Everyone,COMM,19-Jul-18,9.8.376,5.0 and up
GO Notifier,COMM,4.2,124346,695k,"10,000,000+",0,0,Everyone,COMM,06-Jul-14,2.8,2.0 and up
Mail.Ru - Email App,COMM,4.6,837842,Varies with device,"50,000,000+",0,0,Everyone,COMM,03-Aug-18,Varies with device,Varies with device
Mail1Click - Secure Mail,COMM,4.1,255,1.6M,"10,000+",0,0,Everyone,COMM,11-Apr-17,2.3,2.2 and up
Daum Mail - Next Mail,COMM,4.3,41420,19M,"5,000,000+",0,0,Everyone,COMM,21-Jun-18,3.2.0,4.0 and up
mail.com mail,COMM,4.2,44706,Varies with device,"1,000,000+",0,0,Everyone,COMM,25-Jul-18,Varies with device,Varies with device
SolMail - All-in-One email app,COMM,4.3,23707,Varies with device,"500,000+",0,0,Everyone,COMM,09-Aug-17,2.3.17,Varies with device
Hangouts,COMM,4,3419513,Varies with device,"1,000,000,000+",0,0,Everyone,COMM,21-Jul-18,Varies with device,Varies with device
imo free video calls and chat,COMM,4.3,4785988,11M,"500,000,000+",0,0,Everyone,COMM,08-Jun-18,9.8.000000010501,4.0 and up
free video calls and chat,COMM,4.2,594728,Varies with device,"50,000,000+",0,0,Everyone,COMM,19-Jul-18,7.3(800241),4.4 and up
Viber Messenger,COMM,4.3,11335255,Varies with device,"500,000,000+",0,0,Everyone,COMM,18-Jul-18,Varies with device,Varies with device
Skype - free IM & video calls,COMM,4.1,10484169,Varies with device,"1,000,000,000+",0,0,Everyone,COMM,03-Aug-18,Varies with device,Varies with device
WeChat,COMM,4.2,5387446,Varies with device,"100,000,000+",0,0,Everyone,COMM,31-Jul-18,Varies with device,Varies with device
Vonage Mobile® Call Video Text,COMM,4.1,29208,23M,"1,000,000+",0,0,Everyone,COMM,28-Sep-16,2.9.8,2.3.3 and up
JusTalk - Free Video Calls and Fun Video Chat,COMM,4.6,191032,26M,"5,000,000+",0,0,Everyone,COMM,04-Aug-18,7.2.29,4.0.3 and up
Glide - Video Chat Messenger,COMM,4.3,350154,Varies with device,"10,000,000+",0,0,Everyone,COMM,29-Jul-18,Varies with device,Varies with device
Talkray - Free Calls & Texts,COMM,4.2,244863,Varies with device,"10,000,000+",0,0,Everyone,COMM,29-May-18,Varies with device,Varies with device
LINE: Free Calls & Messages,COMM,4.2,10790289,Varies with device,"500,000,000+",0,0,Everyone,COMM,26-Jul-18,Varies with device,Varies with device
KakaoTalk: Free Calls & Text,COMM,4.3,2546527,Varies with device,"100,000,000+",0,0,Everyone,COMM,03-Aug-18,Varies with device,Varies with device
"Moco+ - Chat, Meet People",DATING,4.2,1545,Varies with device,"10,000+",1,$3.99 ,Mature 17+,Dating,19-Jun-18,2.6.139,4.1 and up
Calculator,DATING,2.6,57,6.2M,"1,000+",1,$6.99 ,Everyone,Dating,25-Oct-17,1.1.6,4.0 and up
Truth or Dare Pro,DATING,0,0,20M,50+,1,$1.49 ,Teen,Dating,01-Sep-17,1,4.0 and up
"Private Dating, Hide App- Blue for PrivacyHider",DATING,0,0,18k,100+,1,$2.99 ,Everyone,Dating,25-Jul-17,1.0.1,4.0 and up
Ad Blocker for SayHi,DATING,0,4,1.2M,100+,1,$3.99 ,Teen,Dating,02-Aug-18,1.2,4.0.3 and up
AMBW Dating App: Asian Men Black Women Interracial,DATING,3.5,2,17M,100+,1,$7.99 ,Mature 17+,Dating,21-Jan-17,1.0.1,4.0 and up
Zoosk Dating App: Meet Singles,DATING,4,516801,Varies with device,"10,000,000+",0,0,Mature 17+,Dating,02-Aug-18,Varies with device,Varies with device
OkCupid Dating,DATING,4.1,285726,15M,"10,000,000+",0,0,Mature 17+,Dating,30-Jul-18,11.10.1,4.1 and up
Match™ Dating - Meet Singles,DATING,3.7,76646,Varies with device,"10,000,000+",0,0,Mature 17+,Dating,23-Jul-18,Varies with device,Varies with device
"Hily: Dating, Chat, Match, Meet & Hook up",DATING,4.1,2556,56M,"100,000+",0,0,Mature 17+,Dating,01-Aug-18,2.5.2,4.1 and up
Hinge: Dating & Relationships,DATING,4.2,7779,12M,"500,000+",0,0,Mature 17+,Dating,03-Aug-18,6.1.3,5.0 and up
Casual Dating & Adult Singles - Joyride,DATING,4.5,61637,11M,"5,000,000+",0,0,Mature 17+,Dating,31-Jul-18,4.17.2,4.1 and up
BBW Dating & Plus Size Chat,DATING,4.4,12632,29M,"1,000,000+",0,0,Mature 17+,Dating,27-Jul-18,3.5.0.1,4.1 and up
"Moco - Chat, Meet People",DATING,4.2,313724,Varies with device,"10,000,000+",0,0,Mature 17+,Dating,04-Aug-18,2.6.141,4.1 and up
CMB Free Dating App,DATING,4,48845,40M,"1,000,000+",0,0,Mature 17+,Dating,01-Aug-18,4.19.0.2320,4.4 and up
Hot or Not - Find someone right now,DATING,4.1,305708,Varies with device,"10,000,000+",0,0,Mature 17+,Dating,02-Aug-18,Varies with device,Varies with device
eharmony - Online Dating App,DATING,3.1,31320,53M,"5,000,000+",0,0,Mature 17+,Dating,30-Jul-18,6.6.5,4.1 and up
Free Dating App & Flirt Chat - Match with Singles,DATING,4.4,172460,3.1M,"5,000,000+",0,0,Mature 17+,Dating,04-Aug-18,1.639,4.0 and up
"Chispa, the Dating App for Latino, Latina Singles",DATING,4.2,4195,24M,"100,000+",0,0,Mature 17+,Dating,25-Jul-18,1.6.1,4.4 and up
Clover Dating App,DATING,4.1,11633,23M,"500,000+",0,0,Mature 17+,Dating,24-Jul-18,2.5.1,4.1 and up
Black People Meet Singles Date,DATING,3.9,10212,5.0M,"1,000,000+",0,0,Mature 17+,Dating,25-Jul-18,1.9.7,4.4 and up
Mingle2 - Free Online Dating & Singles Chat Rooms,DATING,4.3,37053,44M,"1,000,000+",0,0,Mature 17+,Dating,03-Aug-18,4.4B,4.1 and up
Free Dating App & Flirt Chat - Cheers,DATING,4.4,667,27M,"10,000+",0,0,Mature 17+,Dating,03-Aug-18,1.308.us,4.1 and up
stranger chat - anonymous chat,DATING,3.5,13202,6.1M,"1,000,000+",0,0,Mature 17+,Dating,07-Jul-18,2.4.1,4.1 and up
"Blendr - Chat, Flirt & Meet",DATING,4,28671,Varies with device,"1,000,000+",0,0,Mature 17+,Dating,01-Aug-18,Varies with device,Varies with device
Free Dating Hook Up Messenger,DATING,3.3,1157,21M,"100,000+",0,0,Mature 17+,Dating,27-Jan-17,5.0.1,4.2 and up
Find Real Love — YouLove Premium Dating,DATING,4.5,212626,11M,"10,000,000+",0,0,Mature 17+,Dating,31-Jul-18,4.17.2,4.1 and up
Once - Quality Matches Every day,DATING,4.4,222888,21M,"1,000,000+",0,0,Mature 17+,Dating,17-Jul-18,2.45,4.1 and up
BLK - Swipe. Match. Chat.,DATING,4.1,2067,24M,"100,000+",0,0,Mature 17+,Dating,25-Jul-18,1.6.1,4.4 and up
Cougar Dating Life : Date Older Women Sugar Mummy,DATING,3.9,1643,31M,"500,000+",0,0,Mature 17+,Dating,03-Jul-18,4.5.5,4.1 and up
Howlr,DATING,3.9,105,27M,"5,000+",0,0,Mature 17+,Dating,19-Jun-18,1.0.4,4.4 and up
Stranger Chat & Date,DATING,3.6,3414,6.2M,"500,000+",0,0,Mature 17+,Dating,06-Jun-18,1.2.1,4.1 and up
Free Dating & Flirt Chat - Choice of Love,DATING,4,42194,Varies with device,"5,000,000+",0,0,Mature 17+,Dating,24-Jul-18,Varies with device,Varies with device
RandoChat - Chat roulette,DATING,3.6,11806,12M,"1,000,000+",0,0,Mature 17+,Dating,26-Jun-18,4.0.18,4.0.3 and up
BeWild Free Dating & Chat App,DATING,3.4,1999,8.0M,"100,000+",0,0,Mature 17+,Dating,03-Feb-17,1.6.5,4.2 and up
"FastMeet: Chat, Dating, Love",DATING,4.2,22544,5.9M,"1,000,000+",0,0,Mature 17+,Dating,27-Jul-18,1.31.4,4.0.3 and up
"Free Dating App - YoCutie - Flirt, Chat & Meet",DATING,4.1,97684,7.9M,"1,000,000+",0,0,Mature 17+,Dating,10-Jul-18,1.23,4.0.3 and up
OurTime Dating for Singles 50+,DATING,3.4,2519,5.0M,"100,000+",0,0,Mature 17+,Dating,25-Jul-18,1.9.7,4.4 and up
FarmersOnly Dating,DATING,3,1146,1.4M,"100,000+",0,0,Mature 17+,Dating,25-Feb-16,2.2,4.0 and up
Dating for 50 plus Mature Singles – FINALLY,DATING,4.6,13046,13M,"500,000+",0,0,Mature 17+,Dating,31-Jul-18,4.17.2,4.1 and up
Sudy – Meet Elite & Rich Single,DATING,4.1,17268,40M,"500,000+",0,0,Mature 17+,Dating,25-Jun-18,4.1.2,4.0.3 and up
Christian Dating For Free App,DATING,3.9,8722,13M,"500,000+",0,0,Mature 17+,Dating,20-Jun-18,15.8,4.1 and up
Just She - Top Lesbian Dating,DATING,1.9,953,19M,"100,000+",0,0,Mature 17+,Dating,18-Jul-18,6.3.7,5.0 and up
Single Parent Meet #1 Dating,DATING,3.5,2593,5.0M,"500,000+",0,0,Mature 17+,Dating,25-Jul-18,1.9.7,4.4 and up
EliteSingles – Dating for Single Professionals,DATING,2.5,5377,19M,"500,000+",0,0,Mature 17+,Dating,31-Jul-18,4.8.5,4.0.3 and up
Millionaire Match: Rich Singles Dating App,DATING,3.9,852,27M,"100,000+",0,0,Mature 17+,Dating,30-Jul-18,6.4.6,4.1 and up
InterracialCupid - Interracial Dating App,DATING,3.4,212,3.0M,"50,000+",0,0,Mature 17+,Dating,13-Jun-18,2.3.0.1781,5.0 and up
Sugar Mommas Dating And Single Search,DATING,3.5,1972,13M,"1,000,000+",0,0,Mature 17+,Dating,12-May-18,4.3,4.1 and up
"Hide App, Private Dating, Safe Chat - PrivacyHider",DATING,4.4,35206,7.2M,"1,000,000+",0,0,Everyone,Dating,21-May-18,2.9.6,4.0 and up
"muzmatch: Muslim & Arab Singles, Marriage & Dating",DATING,3.8,5164,25M,"100,000+",0,0,Mature 17+,Dating,24-Jul-18,3.8.75a,4.0.3 and up
NoBuffDating - Free Dating App,DATING,4.2,1939,Varies with device,"100,000+",0,0,Mature 17+,Dating,08-Jan-17,1.0.0,4.0 and up
Sugar Daddy Dating App,DATING,2.5,277,5.7M,"100,000+",0,0,Mature 17+,Dating,04-Dec-17,3.0.0,4.1 and up
Adult Dirty Emojis,DATING,2.8,80,5.5M,"10,000+",0,0,Teen,Dating,06-Nov-17,1,4.0.3 and up
Free Dating App - Meet Local Singles - Flirt Chat,DATING,4.1,825,Varies with device,"100,000+",0,0,Mature 17+,Dating,28-Dec-17,1.0.5,4.0 and up
"Meet4U - Chat, Love, Singles!",DATING,4.2,40035,6.5M,"1,000,000+",0,0,Mature 17+,Dating,27-Jul-18,1.31.3,4.0.3 and up
SnpCupid Dating,DATING,3.5,1093,5.8M,"100,000+",0,0,Mature 17+,Dating,28-Jan-17,1.6.6,4.2 and up
"Chat Rooms, Avatars, Date - Galaxy",DATING,4.3,135418,Varies with device,"10,000,000+",0,0,Mature 17+,Dating,07-Jul-18,Varies with device,Varies with device
Adult Dating - AdultFinder,DATING,3.3,1601,3.8M,"500,000+",0,0,Mature 17+,Dating,01-Feb-17,1.5,4.1 and up
Gay Sugar Daddy Dating & Hookup – Sudy Gay,DATING,4.1,2212,41M,"100,000+",0,0,Mature 17+,Dating,20-Jun-18,2.0.5,4.0.3 and up
"Meet24 - Love, Chat, Singles",DATING,4.2,57081,7.9M,"1,000,000+",0,0,Mature 17+,Dating,27-Jul-18,1.31.3,4.0.3 and up
BBWCupid - BBW Dating App,DATING,3.5,241,2.8M,"50,000+",0,0,Mature 17+,Dating,01-Jun-18,2.2.0.1748,5.0 and up
ChatVideo Meet new people,DATING,4.2,63986,20M,"5,000,000+",0,0,Mature 17+,Dating,31-May-18,3.0.15,4.0 and up
"TryDate - Free Online Dating App, Chat Meet Adults",DATING,4.4,7888,15M,"500,000+",0,0,Mature 17+,Dating,29-Apr-18,2.4.0,4.1 and up
Black White Interracial Dating - Interracial Match,DATING,4.1,535,28M,"100,000+",0,0,Mature 17+,Dating,29-Mar-18,2.0.0,4.1 and up
"USA Singles Meet, Match and Date Free - Date",DATING,4.2,5084,9.6M,"100,000+",0,0,Mature 17+,Dating,03-Aug-18,1.55,4.1 and up
FlirtChat - ♥Free Dating/Flirting App♥,DATING,4.3,2430,13M,"500,000+",0,0,Mature 17+,Dating,26-Jul-18,12.0.4,4.1 and up
OkCupid Dating,DATING,4.1,285726,15M,"10,000,000+",0,0,Mature 17+,Dating,30-Jul-18,11.10.1,4.1 and up
CMB Free Dating App,DATING,4,48845,40M,"1,000,000+",0,0,Mature 17+,Dating,01-Aug-18,4.19.0.2320,4.4 and up
"Hily: Dating, Chat, Match, Meet & Hook up",DATING,4.1,2556,56M,"100,000+",0,0,Mature 17+,Dating,01-Aug-18,2.5.2,4.1 and up
Hinge: Dating & Relationships,DATING,4.2,7779,12M,"500,000+",0,0,Mature 17+,Dating,03-Aug-18,6.1.3,5.0 and up
The League,DATING,3,837,9.4M,"100,000+",0,0,Mature 17+,Dating,16-Jul-18,1.15.0,4.4 and up
BBW Dating & Plus Size Chat,DATING,4.4,12632,29M,"1,000,000+",0,0,Mature 17+,Dating,27-Jul-18,3.5.0.1,4.1 and up
Casual Dating & Adult Singles - Joyride,DATING,4.5,61637,11M,"5,000,000+",0,0,Mature 17+,Dating,31-Jul-18,4.17.2,4.1 and up
EliteSingles – Dating for Single Professionals,DATING,2.5,5377,19M,"500,000+",0,0,Mature 17+,Dating,31-Jul-18,4.8.5,4.0.3 and up
Clover Dating App,DATING,4.1,11633,23M,"500,000+",0,0,Mature 17+,Dating,24-Jul-18,2.5.1,4.1 and up
"Moco - Chat, Meet People",DATING,4.2,313724,Varies with device,"10,000,000+",0,0,Mature 17+,Dating,04-Aug-18,2.6.141,4.1 and up
"Herpes Dating: 1,000K+ Singles",DATING,4,738,27M,"10,000+",0,0,Mature 17+,Dating,01-Aug-18,6.4.1,4.1 and up
Hot or Not - Find someone right now,DATING,4.1,305708,Varies with device,"10,000,000+",0,0,Mature 17+,Dating,02-Aug-18,Varies with device,Varies with device
Just She - Top Lesbian Dating,DATING,1.9,953,19M,"100,000+",0,0,Mature 17+,Dating,18-Jul-18,6.3.7,5.0 and up
Heart mill,DATING,3.3,4631,45M,"100,000+",0,0,Mature 17+,Dating,04-Aug-18,5.2.14,5.0 and up
Once - Quality Matches Every day,DATING,4.4,222888,21M,"1,000,000+",0,0,Mature 17+,Dating,17-Jul-18,2.45,4.1 and up
Sudy – Meet Elite & Rich Single,DATING,4.1,17268,40M,"500,000+",0,0,Mature 17+,Dating,25-Jun-18,4.1.2,4.0.3 and up
"muzmatch: Muslim & Arab Singles, Marriage & Dating",DATING,3.8,5164,25M,"100,000+",0,0,Mature 17+,Dating,24-Jul-18,3.8.75a,4.0.3 and up
95Live -SG#1 Live Streaming App,DATING,4.1,4953,15M,"1,000,000+",0,0,Teen,Dating,01-Aug-18,8.7.2,4.2 and up
"Chispa, the Dating App for Latino, Latina Singles",DATING,4.2,4195,24M,"100,000+",0,0,Mature 17+,Dating,25-Jul-18,1.6.1,4.4 and up
"Blendr - Chat, Flirt & Meet",DATING,4,28671,Varies with device,"1,000,000+",0,0,Mature 17+,Dating,01-Aug-18,Varies with device,Varies with device
Find Real Love — YouLove Premium Dating,DATING,4.5,212626,11M,"10,000,000+",0,0,Mature 17+,Dating,31-Jul-18,4.17.2,4.1 and up
Mutual - LDS Dating,DATING,3.7,1439,38M,"50,000+",0,0,Mature 17+,Dating,30-Jul-18,1.1.46,4.2 and up
Cougar Dating Life : Date Older Women Sugar Mummy,DATING,3.9,1645,31M,"500,000+",0,0,Mature 17+,Dating,03-Jul-18,4.5.5,4.1 and up
stranger chat - anonymous chat,DATING,3.5,13204,6.1M,"1,000,000+",0,0,Mature 17+,Dating,07-Jul-18,2.4.1,4.1 and up
Millionaire Match: Rich Singles Dating App,DATING,3.9,853,27M,"100,000+",0,0,Mature 17+,Dating,30-Jul-18,6.4.6,4.1 and up
2RedBeans,DATING,4,337,32M,"10,000+",0,0,Mature 17+,Dating,31-Jul-18,2.8.0,4.3 and up
Dating for 50 plus Mature Singles – FINALLY,DATING,4.6,13049,13M,"500,000+",0,0,Mature 17+,Dating,31-Jul-18,4.17.2,4.1 and up
"SweetRing - Meet, Match, Date",DATING,4,51698,63M,"1,000,000+",0,0,Mature 17+,Dating,26-Jul-18,3.0.0,4.0.3 and up
"BiggerCity: Chat for gay bears, chubs & chasers",DATING,4.1,923,44M,"100,000+",0,0,Mature 17+,Dating,02-Aug-18,3.4.1.1,4.1 and up
"Moco+ - Chat, Meet People",DATING,4.2,1546,Varies with device,"10,000+",1,$3.99 ,Mature 17+,Dating,19-Jun-18,2.6.139,4.1 and up
SilverSingles: The 50+ Dating App,DATING,3.3,149,16M,"10,000+",0,0,Mature 17+,Dating,31-Jul-18,4.8.5,4.0.3 and up
